호선명,역명,4시승차,4시하차,5시승차,5시하차,6시승차,6시하차,7시승차,7시하차,8시승차,8시하차,9시승차,9시하차,10시승차,10시하차,11시승차,11시하차,12시승차,12시하차,13시승차,13시하차,14시승차,14시하차,15시승차,15시하차,16시승차,16시하차,17시승차,17시하차,18시승차,18시하차,19시승차,19시하차,20시승차,20시하차,21시승차,21시하차,22시승차,22시하차,23시승차,23시하차,0시승차,0시하차,1시승차,1시하차,2시승차,2시하차,3시승차,3시하차
3호선,가락시장,8,0,3233,710,8462,5952,25048,11175,29118,35935,19869,17101,16225,11967,16221,12162,15950,12925,16016,13753,15289,14012,16014,17074,18279,17151,20942,21019,35378,28934,15208,24188,11876,14849,10947,13556,8424,13351,3281,8312,432,2646,0,62,0,0,0,0
3호선,경찰병원,17,0,2727,280,8046,3171,26993,8518,31668,34252,18050,16762,13126,10760,12505,7844,10730,9189,12275,11102,12059,10780,11679,10394,12359,11062,16414,15064,24207,23291,9008,21593,6518,12429,6310,11340,4328,11520,1592,7678,200,2068,0,0,0,0,0,0
3호선,오금,8,0,3795,2,8434,1911,30207,6029,36909,16886,17837,7062,10762,5931,9032,5127,9282,5875,9558,6952,7779,7298,7632,8430,8603,9968,11543,13626,15754,23065,6991,19033,4783,12507,4172,11586,3852,13388,1205,7798,123,2441,1,1,0,0,0,0
4호선,당고개,59,2,10229,19,20075,8192,59538,9559,58020,15667,35627,13856,25433,14558,21959,13481,21611,13661,22063,16001,19451,17014,18682,20117,19285,24361,21659,29190,19981,40783,14192,41184,9259,29463,7145,26190,5500,24752,2732,18931,478,6464,2,696,0,0,0,0
4호선,상계,85,0,15648,300,41450,9899,107797,17480,94913,23493,51600,18510,35805,16769,31856,16994,33976,20698,31573,22187,26126,24380,26619,28295,28696,35827,28886,45166,28861,69481,19441,72003,14147,45537,13057,40315,13851,38482,5637,29550,836,9731,5,1063,0,0,0,0
4호선,노원,123,3,13570,690,29406,10634,64473,18721,68795,37232,38876,39405,31694,29228,30826,28182,33622,32812,34751,36397,33814,38960,34457,39322,39013,46210,39940,60500,44149,95576,32461,88002,34030,50097,32609,44130,32640,40384,15760,29025,3148,11168,1,374,0,0,0,0
4호선,창동,2206,76,18984,3409,43030,13485,118919,23046,99504,46265,62045,41212,48509,34041,46005,33627,48635,39364,46777,45752,42080,48420,43688,51308,48521,59782,53885,71256,55847,108045,34062,105811,27354,66539,29153,55925,21857,54511,10813,38386,1758,14391,0,53,0,0,0,0
4호선,쌍문,93,6,26250,1315,59509,11413,152998,17432,161627,33319,92761,25638,62409,22861,51398,25192,52489,29348,48267,32199,42280,36083,39579,44591,41629,54330,44630,69576,44424,116713,30342,119632,21544,74370,17933,65500,14068,65009,6897,44769,1070,15687,0,5,0,0,0,0
4호선,수유(강북구청),72,11,23339,4090,51110,14320,138464,24293,155236,63554,93039,47069,64175,37224,58157,38039,61558,41782,59726,46877,54777,51123,53930,59560,57358,69158,64176,84875,73748,141810,48090,138468,37000,86176,33715,75873,28178,73569,16206,49801,2901,15231,0,0,0,0,0,0
4호선,미아(서울사이버대학),58,3,11965,1845,24039,6085,60743,18335,67563,35770,41142,22664,28980,18006,26655,17399,28176,19076,27221,20789,24670,21510,24942,25159,26107,30295,28924,35957,32921,52184,21015,49381,14602,30214,12010,28035,10329,27099,4088,17376,659,5287,0,1,0,0,0,0
